No,Region,PIN,State,Address,Latitude,Longitude,Type,Power,Service
1,NDMC,110003,New Delhi,Market,28.6007255,77.2262524,DC-001,15 kW,Self Service
2,NDMC,110003,New Delhi,Market,28.6007255,77.2262524,DC-001,15 kW,Self Service
3,NDMC,110003,New Delhi,Park,28.5883031,77.2176972,DC-001,15 kW,Self Service
4,NDMC,110003,New Delhi,Market,28.5826538,77.2200872,DC-001,15 kW,Self Service
5,NDMC,110003,New Delhi,Maret,28.584485,77.220316,DC-001,15 kW,Self Service
6,NDMC,110021,New Delhi,Market,28.6023562,77.1866178,DC-001,15 kW,Self Service
7,NDMC,110001,New Delhi,Office,28.6336861,77.2181403,DC-001,15 kW,Self Service
8,NDMC,110001,New Delhi,Office,28.6304482,77.2255578,DC-001,15 kW,Self Service
9,NDMC,110021,New Delhi,Office,28.5838828,77.163408,DC-001,15 kW,Self Service
10,NDMC,110003,New Delhi,Market,28.6003333,77.2268889,DC-001,15 kW,Self Service
11,NDMC,110001,New Delhi,Market,28.633675,77.2234929,DC-001,15 kW,Self Service
12,NDMC,110001,New Delhi,Bank,28.6325843,77.2229787,DC-001,15 kW,Self Service
13,NDMC,110001,New Delhi,Bank,28.6317294,77.2221076,DC-001,15 kW,Self Service
14,NDMC,110001,New Delhi,Market,28.633841,77.2074439,DC-001,15 kW,Self Service
15,NDMC,110001,New Delhi,Petrol Pump,28.6281626,77.2155151,DC-001,15 kW,Self Service
16,NDMC,110001,New Delhi,Petrol Pump,28.6281626,77.2155151,DC-001,15 kW,Self Service
17,NDMC,110001,New Delhi,Mall,28.6350113,77.2196112,DC-001,15 kW,Self Service
18,NDMC,110001,New Delhi,Bank,28.6338828,77.2215424,DC-001,15 kW,Self Service
19,NDMC,110001,New Delhi,Petrol Pump,28.6318964,77.2215824,DC-001,15 kW,Self Service
20,NDMC,110001,New Delhi,Bank,28.6242518,77.2125818,DC-001,15 kW,Self Service
21,NDMC,110023,New Delhi,Market,28.5772318,77.1972385,DC-001,15 kW,Self Service
22,NDMC,110001,New Delhi,Office,28.6337975,77.2174553,DC-001,15 kW,Self Service
23,NDMC,110003,New Delhi,Hospital,28.5838046,77.2218225,DC-001,15 kW,Self Service
24,NDMC,110001,New Delhi,Office,28.617783,77.2129959,DC-001,15 kW,Self Service
25,NDMC,110001,New Delhi,Office,28.617783,77.2129959,DC-001,15 kW,Self Service
26,NDMC,110001,New Delhi,Office,28.6268691,77.231853,DC-001,15 kW,Self Service
27,NDMC,110021,New Delhi,Hospital,28.5852879,77.177094,DC-001,15 kW,Self Service
28,NDMC,110021,New Delhi,Office,28.586617,77.19364,DC-001,15 kW,Self Service
29,NDMC,110021,New Delhi,Office,28.586617,77.19364,DC-001,15 kW,Self Service
30,NDMC,110001,New Delhi,Office,28.6336306,77.220579,DC-001,15 kW,Self Service
31,NDMC,110001,New Delhi,Office,28.6329899,77.2179805,DC-001,15 kW,Self Service
32,NDMC,110001,New Delhi,Office,28.6340719,77.2187798,DC-001,15 kW,Self Service
33,CMRL,600035,Tamil Nadu,Metro Station,12.9959222,80.2102867,DC-001,15 kW,Self Service
34,CMRL,600035,Tamil Nadu,Metro Station,12.9959222,80.2102867,AC-001,10(3.3 kW each),Self Service
35,Maha Metro,440005,Maharashtra,Metro Station,21.0868801,79.0635586,DC-001,15 kW,Self Service
36,Maha Metro,440005,Maharashtra,Metro Station,21.0868801,79.0635586,AC-001,10(3.3 kW each),Self Service
37,NDMC,110021,New Delhi,Office,28.5853056,77.191,DC-001,15 kW,Self Service
38,NDMC,110001,New Delhi,Office,28.6222241,77.2142492,DC-001,15 kW,Self Service
39,NDMC,110021,New Delhi,Market,28.6023562,77.1866178,DC-001,15 kW,Self Service
40,NDMC,110021,New Delhi,Hospital,28.5852879,77.177094,DC-001,15 kW,Self Service
41,NDMC,110003,New Delhi,Garden,28.5907109,77.2242844,DC-001,15 kW,Self Service
42,NDMC,110001,New Delhi,Office,28.6245157,77.2135555,DC-001,15 kW,Self Service
43,NDMC,110001,New Delhi,Mall,28.5503609,77.2139161,DC-001,15 kW,Self Service
